Pid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
3333, 0, 178, 5, -4000, TWO_PAIR, 7, NORMAL
4444, 10430, 600, 16, 6430, FULL_HOUSE, 1, NORMAL
5555, 0, 120, 3, -4000, THREE_OF_A_KIND, 8, NORMAL
6666, 30, 304, 2, -3970, ONE_PAIR, 4, NORMAL
7777, 20, 579, 10, -3980, THREE_OF_A_KIND, 3, NORMAL
8888, 2100, 600, 14, -1900, STRAIGHT, 2, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 530, 0, -4000, NULL, 7, NORMAL
2222, 20, 533, 0, -3980, NULL, 2, NORMAL
3333, 0, 531, 0, -4000, NULL, 5, NORMAL
4444, 0, 529, 0, -4000, NULL, 8, NORMAL
5555, 20, 530, 0, -3980, NULL, 6, NORMAL
6666, 20, 531, 0, -3980, NULL, 4, NORMAL
7777, 0, 532, 0, -4000, NULL, 3, NORMAL
8888, 10460, 533, 0, 6460, NULL, 1, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 2, 2, -4000, FLUSH, 4, NORMAL
2222, 0, 2, 2, -4000, FLUSH, 4, NORMAL
3333, 0, 2, 2, -4000, TWO_PAIR, 4, NORMAL
4444, 0, 2, 2, -4000, TWO_PAIR, 4, NORMAL
5555, 0, 4, 4, -4000, FOUR_OF_A_KIND, 3, NORMAL
6666, 0, 304, 14, -4000, FULL_HOUSE, 2, NORMAL
7777, 0, 2, 2, -4000, THREE_OF_A_KIND, 4, NORMAL
8888, 32000, 304, 10, 28000, FULL_HOUSE, 1, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 6396, 600, 600, 2396, FOUR_OF_A_KIND, 3, NORMAL
2222, 7035, 600, 600, 3035, FULL_HOUSE, 2, NORMAL
3333, 1070, 600, 600, -2930, FOUR_OF_A_KIND, 7, NORMAL
4444, 2291, 600, 600, -1709, FULL_HOUSE, 6, NORMAL
5555, 3464, 600, 600, -536, FULL_HOUSE, 5, NORMAL
6666, 7304, 600, 600, 3304, FULL_HOUSE, 1, NORMAL
7777, 4420, 600, 600, 420, FULL_HOUSE, 4, NORMAL
8888, 20, 456, 52, -3980, FULL_HOUSE, 8, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 2, 2, -4000, ONE_PAIR, 6, NORMAL
2222, 0, 219, 18, -4000, FULL_HOUSE, 2, NORMAL
3333, 31980, 219, 37, 27980, FLUSH, 1, NORMAL
4444, 0, 2, 2, -4000, ONE_PAIR, 6, NORMAL
5555, 0, 2, 2, -4000, TWO_PAIR, 6, NORMAL
6666, 0, 7, 2, -4000, HIGH_CARD, 4, NORMAL
7777, 0, 5, 2, -4000, ONE_PAIR, 5, NORMAL
8888, 20, 136, 14, -3980, STRAIGHT, 3, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 476, 7, -4000, TWO_PAIR, 4, NORMAL
2222, 0, 483, 2, -4000, TWO_PAIR, 3, NORMAL
3333, 20, 399, 12, -3980, FULL_HOUSE, 5, NORMAL
4444, 20, 347, 4, -3980, STRAIGHT, 6, NORMAL
5555, 0, 51, 3, -4000, TWO_PAIR, 8, NORMAL
6666, 6040, 600, 8, 2040, TWO_PAIR, 1, NORMAL
7777, 1300, 600, 6, -2700, THREE_OF_A_KIND, 2, NORMAL
8888, 0, 134, 10, -4000, THREE_OF_A_KIND, 7, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 531, 0, -4000, NULL, 4, NORMAL
2222, 0, 529, 0, -4000, NULL, 8, NORMAL
3333, 20, 531, 0, -3980, NULL, 3, NORMAL
4444, 20, 533, 0, -3980, NULL, 2, NORMAL
5555, 20, 530, 0, -3980, NULL, 5, NORMAL
6666, 20, 529, 0, -3980, NULL, 7, NORMAL
7777, 0, 530, 0, -4000, NULL, 6, NORMAL
8888, 11240, 533, 0, 7240, NULL, 1, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 2, 2, -4000, TWO_PAIR, 3, NORMAL
2222, 0, 2, 2, -4000, TWO_PAIR, 3, NORMAL
3333, 0, 2, 2, -4000, THREE_OF_A_KIND, 3, NORMAL
4444, 0, 35, 4, -4000, FLUSH, 2, NORMAL
5555, 0, 2, 2, -4000, THREE_OF_A_KIND, 3, NORMAL
6666, 0, 2, 2, -4000, TWO_PAIR, 3, NORMAL
7777, 0, 2, 2, -4000, ONE_PAIR, 3, NORMAL
8888, 32000, 35, 3, 28000, FULL_HOUSE, 1, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 6433, 600, 600, 2433, STRAIGHT_FLUSH, 2, NORMAL
2222, 7897, 600, 600, 3897, FOUR_OF_A_KIND, 1, NORMAL
3333, 3442, 600, 600, -558, FOUR_OF_A_KIND, 6, NORMAL
4444, 271, 600, 600, -3729, FOUR_OF_A_KIND, 8, NORMAL
5555, 4543, 600, 600, 543, FOUR_OF_A_KIND, 4, NORMAL
6666, 3866, 600, 600, -134, FOUR_OF_A_KIND, 5, NORMAL
7777, 4702, 600, 600, 702, FOUR_OF_A_KIND, 3, NORMAL
8888, 846, 600, 72, -3154, FOUR_OF_A_KIND, 7, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 2, 2, -4000, ONE_PAIR, 6, NORMAL
2222, 20, 155, 15, -3980, FLUSH, 3, NORMAL
3333, 0, 475, 51, -4000, FLUSH, 2, NORMAL
4444, 0, 4, 4, -4000, FULL_HOUSE, 5, NORMAL
5555, 0, 2, 2, -4000, ONE_PAIR, 6, NORMAL
6666, 0, 2, 2, -4000, ONE_PAIR, 6, NORMAL
