Pid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
3333, 0, 2, 2, -4000, ONE_PAIR, 6, NORMAL
4444, 20, 4, 4, -3980, TWO_PAIR, 5, NORMAL
5555, 0, 2, 2, -4000, TWO_PAIR, 6, NORMAL
6666, 1000, 600, 13, -3000, FLUSH, 2, NORMAL
7777, 0, 22, 8, -4000, THREE_OF_A_KIND, 3, NORMAL
8888, 0, 11, 2, -4000, ONE_PAIR, 4, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 529, 0, -4000, NULL, 8, NORMAL
2222, 20, 529, 0, -3980, NULL, 7, NORMAL
3333, 0, 531, 0, -4000, NULL, 5, NORMAL
4444, 20, 532, 0, -3980, NULL, 3, NORMAL
5555, 0, 532, 0, -4000, NULL, 4, NORMAL
6666, 20, 530, 0, -3980, NULL, 6, NORMAL
7777, 7720, 600, 6, 3720, STRAIGHT, 1, NORMAL
8888, 2420, 600, 6, -1580, STRAIGHT, 2, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 53, 2, -4000, ONE_PAIR, 4, NORMAL
2222, 0, 122, 19, -4000, FULL_HOUSE, 2, NORMAL
3333, 0, 2, 2, -4000, ONE_PAIR, 8, NORMAL
4444, 0, 19, 4, -4000, TWO_PAIR, 6, NORMAL
5555, 0, 14, 2, -4000, ONE_PAIR, 7, NORMAL
6666, 0, 38, 2, -4000, TWO_PAIR, 5, NORMAL
7777, 32000, 122, 9, 28000, FLUSH, 1, NORMAL
8888, 0, 82, 3, -4000, THREE_OF_A_KIND, 3, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 31980, 285, 45, 27980, FULL_HOUSE, 1, NORMAL
2222, 0, 2, 2, -4000, ONE_PAIR, 6, NORMAL
3333, 0, 200, 0, -4000, NULL, 3, NORMAL
4444, 0, 4, 4, -4000, TWO_PAIR, 5, NORMAL
5555, 0, 2, 2, -4000, ONE_PAIR, 6, NORMAL
6666, 0, 2, 2, -4000, TWO_PAIR, 6, NORMAL
7777, 0, 7, 5, -4000, TWO_PAIR, 4, NORMAL
8888, 20, 285, 40, -3980, FULL_HOUSE, 2, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 33, 15, -4000, FULL_HOUSE, 3, NORMAL
2222, 0, 84, 3, -4000, FOUR_OF_A_KIND, 2, NORMAL
3333, 0, 2, 2, -4000, ONE_PAIR, 6, NORMAL
4444, 0, 2, 2, -4000, TWO_PAIR, 6, NORMAL
5555, 0, 2, 2, -4000, TWO_PAIR, 6, NORMAL
6666, 0, 8, 2, -4000, TWO_PAIR, 5, NORMAL
7777, 0, 28, 12, -4000, STRAIGHT, 4, NORMAL
8888, 31240, 84, 4, 27240, FULL_HOUSE, 1, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 136, 12, -4000, FULL_HOUSE, 4, NORMAL
2222, 0, 404, 6, -4000, FLUSH, 2, NORMAL
3333, 20, 263, 0, -3980, NULL, 3, NORMAL
4444, 0, 4, 2, -4000, ONE_PAIR, 8, NORMAL
5555, 24360, 404, 10, 20360, TWO_PAIR, 1, NORMAL
6666, 0, 115, 10, -4000, THREE_OF_A_KIND, 5, NORMAL
7777, 0, 42, 13, -4000, FULL_HOUSE, 7, NORMAL
